Wall time,Step,Value
1697665738.046083,500,1.495019386066332e-13
1697667179.7090163,1000,3.230765264691793e-13
1697668668.2601993,1500,1.1893095591740486e-14
1697670231.8690345,2000,2.7002170302232315e-14
1697670400.774874,2048,1.8395038232444164e-14
1697671762.683323,2500,2.0183366696707727e-12
1697673293.1290374,3000,5.0068443619886386e-15
1697674861.495253,3500,2.7417930664568047e-13
1697676496.538502,4000,3.617446403189617e-12
1697676799.118324,4096,4.511815834135069e-12
1697678038.9971848,4500,1.2866444021319978e-14
1697679665.3146207,5000,1.0206996923015077e-12
1697681289.5113416,5500,2.7026649554407964e-14
1697682871.5258176,6000,5.285067630929341e-13
1697683309.4593053,6144,2.317283090945161e-14
1697684529.2227576,6500,1.4950135584796548e-13
1697686205.134971,7000,3.744017682688616e-12
1697687831.0889795,7500,2.28766793919713e-14
1697689444.1329439,8000,1.9621749039623994e-15
1697690091.093062,8192,2.5450153527044155e-14
1697691103.6976988,8500,1.4950170821367154e-13
1697692798.559227,9000,6.076545516764398e-13
1697694492.4019196,9500,3.905668757159253e-12
1697696211.0928428,10000,7.83195055575718e-14
1697697025.6612792,10240,1.3151472098849037e-12
1697698003.866944,10500,4.5000990780974526e-12
1697699696.0753293,11000,1.8930012722281897e-13
1697701383.229169,11500,1.495017217661987e-13
1697703124.1936746,12000,1.2030344168773022e-12
1697704097.490306,12288,2.6070538956812772e-12
1697704815.8458617,12500,4.206735345946332e-15
1697706494.8803246,13000,2.71361844670151e-14
1697708174.928682,13500,4.5004013536631415e-12
1697709848.3629935,14000,1.1438560602178294e-12
1697711022.0617487,14336,1.6291820323366402e-12
1697711565.756082,14500,1.4950197926421466e-13
1697713184.2379315,15000,3.5371987457122334e-12
1697714833.4249334,15500,1.030367089392692e-12
1697716507.7790377,16000,3.9606087506860455e-12
1697717840.2222004,16384,7.153429866686711e-13
1697718212.6328974,16500,4.256028428311796e-15
1697719935.3569303,17000,4.500681945185381e-12
1697721733.4004765,17500,9.219075156052803e-13
1697723485.6675038,18000,2.8689602776799106e-12
1697724948.7313278,18432,1.3340204592024452e-12
1697725183.2989454,18500,1.590662822813227e-13
1697726927.4476395,19000,6.408032547827847e-17
1697728685.4437332,19500,1.1854650290923918e-12
1697730396.1541889,20000,1.1101077603816942e-13
1697732082.3579082,20480,3.6236703741809873e-12
1697732151.303811,20500,2.7073456595073236e-14
1697733953.068646,21000,3.387490375011959e-12
1697735683.9692407,21500,2.7041442137798813e-14
1697737406.1434758,22000,4.380294954878239e-13
1697739170.283844,22500,1.495018437389431e-13
1697739257.1520083,22528,1.495018437389431e-13
1697741079.4441202,23000,4.500460767942194e-12
1697742820.6296206,23500,2.1092772439692403e-13
1697744297.3651419,24000,9.667961960516114e-13
1697745802.9018059,24500,7.500219927547222e-14
1697746045.966396,24576,9.751404328114943e-13
